x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.005770,0.042230,0.078377,1.166800,3299.831,800.000,1.382104,1960.994,4902154.437
0.006032,0.041968,0.079366,1.166800,3299.827,800.000,1.382099,1983.101,4957408.125
0.006294,0.041706,0.080374,1.166800,3299.822,800.000,1.382095,2005.597,5013636.195
0.006556,0.041444,0.081402,1.166800,3299.818,800.000,1.382090,2028.493,5070862.098
0.006819,0.041181,0.082450,1.166800,3299.813,800.000,1.382085,2051.797,5129109.998
0.007081,0.040919,0.083518,1.166800,3299.808,800.000,1.382079,2075.521,5188404.804
0.007343,0.040657,0.084607,1.166800,3299.803,800.000,1.382074,2099.674,5248772.194
0.007606,0.040394,0.085718,1.166800,3299.798,800.000,1.382069,2124.267,5310238.648
0.007868,0.040132,0.086852,1.166800,3299.793,800.000,1.382063,2149.311,5372831.474
0.008130,0.039870,0.088008,1.166800,3299.787,800.000,1.382057,2174.817,5436578.843
0.008392,0.039608,0.089187,1.166800,3299.781,800.000,1.382051,2200.797,5501509.819
0.008655,0.039345,0.090390,1.166800,3299.775,800.000,1.382045,2227.262,5567654.397
0.008917,0.039083,0.091619,1.166800,3299.769,800.000,1.382038,2254.226,5635043.536
0.009179,0.038821,0.092872,1.166800,3299.763,800.000,1.382031,2281.700,5703709.197
0.009441,0.038559,0.094152,1.166800,3299.756,800.000,1.382024,2309.699,5773684.384
0.009704,0.038296,0.095459,1.166800,3299.749,800.000,1.382017,2338.236,5845003.186
0.009966,0.038034,0.096793,1.166800,3299.742,800.000,1.382010,2367.324,5917700.816
0.010228,0.037772,0.098156,1.166800,3299.735,800.000,1.382002,2396.979,5991813.661
0.010490,0.037510,0.099549,1.166800,3299.727,800.000,1.381994,2427.216,6067379.325
0.010753,0.037247,0.100971,1.166800,3299.720,800.000,1.381986,2458.050,6144436.681
0.011015,0.036985,0.102424,1.166800,3299.712,800.000,1.381977,2489.498,6223025.926
0.011277,0.036723,0.103910,1.166800,3299.703,800.000,1.381968,2521.575,6303188.628
0.011539,0.036461,0.105428,1.166800,3299.694,800.000,1.381959,2554.299,6384967.789
0.011802,0.036198,0.106980,1.166800,3299.685,800.000,1.381949,2587.689,6468407.904
0.012064,0.035936,0.108568,1.166800,3299.676,800.000,1.381939,2621.762,6553555.019
0.012326,0.035674,0.110191,1.166800,3299.666,800.000,1.381929,2656.537,6640456.807
0.012588,0.035412,0.111852,1.166800,3299.656,800.000,1.381918,2692.035,6729162.625
0.012851,0.035149,0.113550,1.166800,3299.646,800.000,1.381907,2728.276,6819723.596
0.013113,0.034887,0.115289,1.166800,3299.635,800.000,1.381896,2765.281,6912192.681
0.013375,0.034625,0.117068,1.166800,3299.623,800.000,1.381884,2803.072,7006624.761
0.013638,0.034362,0.118890,1.166800,3299.611,800.000,1.381871,2841.672,7103076.719
0.013900,0.034100,0.120755,1.166800,3299.599,800.000,1.381858,2881.105,7201607.533
0.014162,0.033838,0.122664,1.166800,3299.586,800.000,1.381845,2921.395,7302278.364
